x,y
1.000000,0.002426
0.999938,0.002434
0.999751,0.002458
0.999439,0.002498
0.999003,0.002554
0.998443,0.002626
0.997759,0.002714
0.996950,0.002818
0.996018,0.002938
0.994962,0.003075
0.993782,0.003227
0.992480,0.003395
0.991055,0.003578
0.989507,0.003778
0.987838,0.003991
0.986046,0.004219
0.984134,0.004464
0.982101,0.004730
0.979948,0.005018
0.977675,0.005328
0.975284,0.005658
0.972774,0.006008
0.970146,0.006377
0.967400,0.006764
0.964539,0.007169
0.961561,0.007587
0.958469,0.008016
0.955262,0.008454
0.951942,0.008899
0.948509,0.009349
0.944964,0.009821
0.941309,0.010322
0.937544,0.010846
0.933669,0.011390
0.929686,0.011961
0.925597,0.012551
0.921401,0.013144
0.917100,0.013732
0.912695,0.014320
0.908188,0.014916
0.903579,0.015537
0.898869,0.016201
0.894059,0.016874
0.889152,0.017541
0.884147,0.018241
0.879047,0.018971
0.873852,0.019649
0.868565,0.020256
0.863185,0.020884
0.857715,0.021579
0.852155,0.022334
0.846508,0.023143
0.840775,0.023997
0.834956,0.024885
0.829054,0.025799
0.823070,0.026721
0.817006,0.027577
0.810862,0.028354
0.804642,0.029157
0.798345,0.030035
0.791974,0.030958
0.785530,0.031882
0.779014,0.032764
0.772430,0.033648
0.765777,0.034586
0.759059,0.035564
0.752275,0.036521
0.745429,0.037453
0.738522,0.038412
0.731555,0.039454
0.724530,0.040458
0.717450,0.041472
0.710315,0.042498
0.703128,0.043524
0.695890,0.044556
0.688604,0.045617
0.681270,0.046763
0.673891,0.047877
0.666469,0.048942
0.659006,0.050013
0.651503,0.051149
0.643962,0.052366
0.636385,0.053617
0.628774,0.054826
0.621131,0.056104
0.613458,0.057414
0.605757,0.058691
0.598029,0.059972
0.590277,0.061278
0.582502,0.062616
0.574707,0.063939
0.566893,0.065223
0.559063,0.066489
0.551217,0.067841
0.543359,0.069149
0.535491,0.070433
0.527613,0.071796
0.519728,0.073107
0.511839,0.074338
0.503947,0.075614
0.496053,0.076931
0.488161,0.078176
0.480272,0.079440
0.472387,0.080691
0.464509,0.081846
0.456641,0.082999
0.448783,0.084185
0.440937,0.085408
0.433107,0.086605
0.425293,0.087670
0.417498,0.088631
0.409723,0.089576
0.401971,0.090551
0.394243,0.091491
0.386542,0.092425
0.378869,0.093401
